entity,code,year,wheat_yield_gap,corn_yield_gap,rice_yield_gap,share_below_3_daily,kilo_cals_consumed_daily,trade_of_gdp,allocations,binary,wheat_yield_gap_lag1,wheat_yield_gap_lag2,wheat_yield_gap_lag3,corn_yield_gap_lag1,corn_yield_gap_lag2,corn_yield_gap_lag3,rice_yield_gap_lag1,rice_yield_gap_lag2,rice_yield_gap_lag3,share_below_3_daily_lag1,share_below_3_daily_lag2,share_below_3_daily_lag3,kilo_cals_consumed_daily_lag1,kilo_cals_consumed_daily_lag2,kilo_cals_consumed_daily_lag3,trade_of_gdp_lag1,trade_of_gdp_lag2,trade_of_gdp_lag3,famine_risk_score,predicted_famine
Guatemala,GTM,2006,2.0788,2.8792999,3.6737998,10.515569,2347.7112,67.91193,,0,2.2566,2.3779,2.3507,3.6789,3.7606,3.3833997,3.0635998,3.8818996,3.1706996,8.796336,13.39,35.128002,2068.8564,2068.3005,2196.8623,49.145588,44.42374,39.781548,0.9803296904961059,1
Ecuador,ECU,2020,3.3131998,1.3766997,2.4626997,8.438639,2545.8577,43.98931,,0,3.8554,3.7858,4.2075996,0.6164994,1.5754995,1.1976995,2.4604998,2.2583995,2.1746,4.647917,4.6928425,4.279495,2508.7085,2541.5408,2549.7742,48.082848,48.009346,43.61772,0.9793607049664278,1
India,IND,2004,1.6868,1.5127,1.7443995,46.424168,2205.626,37.503815,,0,2.0733001,2.4838,2.5842,1.8185,2.3912,2.0679002,1.8896997,2.5208995,2.5366995,47.482635,51.78026,50.867126,2266.514,2192.8723,2239.7808,19.651539,12.584814,13.690594,0.9781533193995885,1
Bolivia,BOL,2005,3.2359,3.4441001,3.0159998,18.68031,2104.7046,67.641945,,0,3.2434998,3.425,3.3209999,3.9155002,3.463,3.4157,3.3828998,3.5623999,3.2846997,13.245265,23.888046,22.324232,2047.3685,2088.4539,2063.0713,57.464268,49.35026,45.22782,0.9775468792580536,1
Ecuador,ECU,2016,3.975,1.6353996,2.5275998,4.9700646,2537.4006,40.534492,2000000.0,1,4.7834997,4.3796,4.7936,0.73309946,1.7663996,2.8297997,2.3543997,2.7628996,2.8246996,4.7707906,3.9699283,4.4902396,2603.843,2601.2761,2553.0076,47.82804,61.426376,63.4333,0.976654164589644,1
Madagascar,MDG,2010,1.8776999,3.4622998,2.4651,65.2948,2093.6055,57.874893,,0,1.9305999,1.8889999,1.9027998,3.4736,4.091,4.1038,3.376,3.8944,3.9616,55.31215,57.460075,78.52082,1966.4911,1899.752,1913.5381,59.130085,41.035126,40.92441,0.9756354482583638,1
Guatemala,GTM,2000,2.2566,3.6789,3.0635998,8.796336,2068.8564,49.145588,,0,2.3779,2.3507,2.3514,3.7606,3.3833997,3.6943998,3.8818996,3.1706996,2.7997997,13.39,35.128002,47.387,2068.3005,2196.8623,2361.1174,44.42374,39.781548,30.64402,0.9752957671300928,1
Pakistan,PAK,2001,2.4346,2.3968997,2.8758001,56.245186,2131.7979,23.577208,,0,2.5224001,2.7416,2.9351,2.3746996,2.5715997,2.7585998,2.737,2.7615,3.3149,50.284134,45.318882,79.46474,2219.1602,2258.8674,2239.8848,34.011726,38.330128,35.034576,0.973924635646609,1
Venezuela,VEN,1995,4.2223,1.0699999,0.70379925,15.14426,2422.8333,47.342342,,0,4.2434998,4.2818,4.2888,1.6240001,1.7950001,2.03,1.0499997,0.5192995,2.2349997,6.884314,7.2639627,12.285,2511.2053,2287.9587,2554.372,53.47614,53.42732,42.305748,0.9732553709402831,1
Tajikistan,TJK,2015,2.0679998,0.0,2.0790997,13.330254,2421.444,49.937817,,0,2.0656998,2.7499998,3.1102998,0.26069927,6.1390996,5.4688993,5.0141997,6.2992997,5.7291994,15.707685,24.190775,37.15609,2084.8965,2040.051,1942.1176,85.978134,145.5281,128.33817,0.9666631401255132,1
Uganda,UGA,2012,2.6414,2.0104,4.2457,56.162113,2308.6091,43.502136,,0,2.4033003,2.4033003,2.3200002,2.0104,2.9241002,2.7097,4.1574,5.05,5.05,63.549877,72.403595,78.57561,2292.559,2390.387,2367.4263,47.063877,38.994286,36.277794,0.9648751117121542,1
Colombia,COL,2001,4.3194,2.7645001,1.2827997,29.555029,2875.238,33.90111,,0,4.2307997,3.6762998,3.6476,2.7336001,3.0439,3.2107,1.0976,1.0291,1.7505999,23.918106,28.187084,24.790201,2836.447,2818.9814,2816.4885,32.667084,36.14928,36.044106,0.9580569202016187,1
Ecuador,ECU,2015,4.7834997,0.73309946,2.3543997,4.7707906,2603.843,47.82804,,0,4.3796,4.7936,4.7005,1.7663996,2.8297997,2.4675999,2.7628996,2.8246996,2.5057998,3.9699283,4.4902396,6.0294714,2601.2761,2553.0076,2594.671,61.426376,63.4333,67.00293,0.9580430496342912,1
Venezuela,VEN,2001,1.8762999,0.43139982,0.034499645,14.738451,2497.9583,42.14127,,0,2.6162999,2.9746997,4.2223,0.7476001,1.1103001,1.0699999,0.13549948,0.35329914,0.70379925,16.7047,14.864723,15.14426,2329.172,2342.1968,2422.8333,42.070232,43.599392,47.342342,0.9574631203944105,1
Ecuador,ECU,2022,3.8091998,0.6723995,2.1812997,4.444918,2574.2866,61.880795,,0,3.6949,3.3131998,3.8554,0.5586996,1.3766997,0.6164994,2.3430998,2.4626997,2.4604998,5.2759323,8.438639,4.647917,2578.4722,2545.8577,2508.7085,53.261276,43.98931,48.082848,0.9566045003999152,1
Paraguay,PRY,2002,2.9236999,2.6858,3.0858996,19.587046,2836.6777,79.44157,,0,2.8165998,3.6916,2.8638,2.6992002,2.7383,2.2817001,2.9902997,2.3573995,3.2711995,13.470457,15.035844,14.908438,2779.0867,2764.9841,2724.971,72.6057,77.555275,95.93427,0.9564559814373197,1
Honduras,HND,1994,3.0329,2.9763002,3.7694001,32.93872,2303.3997,114.43811,,0,3.0579002,3.0474,3.0585,2.9906,3.0658002,3.0415,3.6064,3.5669,3.6676002,31.294764,36.488472,41.26935,2284.6582,2281.181,2240.6497,98.24847,84.75846,89.59351,0.9562079981755619,1
Tajikistan,TJK,2007,2.7499998,6.1390996,6.2992997,24.190775,2040.051,145.5281,,0,3.1102998,3.1283998,3.9513998,5.4688993,6.3800993,7.339999,5.7291994,5.9096,6.8792,37.15609,56.009247,79.43606,1942.1176,1918.2302,1901.6278,128.33817,137.66959,133.60594,0.9553876873010131,1
Ecuador,ECU,2008,4.7534,2.9557998,1.8260999,9.786151,2287.0398,74.590294,,0,4.6814,4.7226,4.778,2.8894997,3.3223996,3.0767999,1.5344996,1.6913996,1.9910998,10.939807,10.859648,15.378599,2203.6123,2219.1672,2236.7712,68.850586,65.842354,61.95815,0.9486669024115292,1
Colombia,COL,2011,4.2335997,1.9808998,1.8711,11.237753,2803.96,39.470425,,0,4.0603,4.1354,4.0148997,2.1173,2.1555,2.0688,1.7076998,1.1343994,0.94129944,13.110653,15.020092,16.56455,2801.4343,2801.676,2896.4336,34.264603,35.156128,39.16765,0.947005994466326,1
Ecuador,ECU,2014,4.3796,1.7663996,2.7628996,3.9699283,2601.2761,61.426376,,0,4.7936,4.7005,4.5751,2.8297997,2.4675999,3.5327997,2.8246996,2.5057998,2.2963996,4.4902396,6.0294714,6.4440784,2553.0076,2594.671,2601.4905,63.4333,67.00293,70.03568,0.946851419846879,1
Colombia,COL,2003,3.8803997,2.1882,0.9763994,19.76305,2861.8765,36.516182,,0,4.0947,4.3194,4.2307997,2.5627,2.7645001,2.7336001,1.0298996,1.2827997,1.0976,21.234781,29.555029,23.918106,2843.492,2875.238,2836.447,32.98264,33.90111,32.667084,0.9407577576158953,1
Bolivia,BOL,2002,3.425,3.463,3.5623999,23.888046,2088.4539,49.35026,,0,3.3209999,3.4608,3.4422998,3.4157,3.5041,3.8679,3.2846997,3.6465998,4.1431,22.324232,28.253988,24.576733,2063.0713,2049.1453,2003.8174,45.22782,45.597775,44.168255,0.9354451838314737,1
Honduras,HND,2002,3.1096,2.9945002,3.9027002,28.954807,2316.0996,117.99745,,0,3.1098,3.165,3.14,2.8608003,3.1351,3.3043003,2.7611,4.075,3.7132,26.542213,32.1215,32.306,2309.411,2286.1401,2311.6445,115.94307,121.502106,122.69671,0.9292392274191803,1
Honduras,HND,1993,3.0579002,2.9906,3.6064,31.294764,2284.6582,98.24847,,0,3.0474,3.0585,3.0631,3.0658002,3.0415,2.8411999,3.5669,3.6676002,3.7574,36.488472,41.26935,51.673,2281.181,2240.6497,2275.5063,84.75846,89.59351,94.22249,0.9291039385689813,1
Ecuador,ECU,2007,4.6814,2.8894997,1.5344996,10.939807,2203.6123,68.850586,,0,4.7226,4.778,4.6947002,3.3223996,3.0767999,3.3158998,1.6913996,1.9910998,1.6712995,10.859648,15.378599,19.438683,2219.1672,2236.7712,2212.9634,65.842354,61.95815,56.074547,0.9261137481375543,1
Ecuador,ECU,2010,4.6088,2.9651997,2.4071996,7.774476,2595.9446,65.77738,,0,4.6383,4.7534,4.6814,2.9996996,2.9557998,2.8894997,1.8895998,1.8260999,1.5344996,9.332509,9.786151,10.939807,2279.194,2287.0398,2203.6123,57.347347,74.590294,68.850586,0.914746369631893,1
Colombia,COL,2004,3.9420998,2.2043002,1.0261998,19.20861,2843.8552,35.863426,,0,3.8803997,4.0947,4.3194,2.1882,2.5627,2.7645001,0.9763994,1.0298996,1.2827997,19.76305,21.234781,29.555029,2861.8765,2843.492,2875.238,36.516182,32.98264,33.90111,0.9079093267517235,1
Colombia,COL,2018,3.9413,1.3411,1.4377995,7.37823,3087.4905,36.53475,2014143.0,1,3.7358997,4.2359,3.9761,1.3395,1.7663,1.1686001,1.7491999,1.4976997,1.6999998,7.30628,7.9806275,8.078434,3052.0144,3090.7598,3075.3164,35.282913,36.202652,38.360764,0.9078643088251549,1
Honduras,HND,1998,3.14,3.3043003,3.7132,32.306,2311.6445,122.69671,,0,2.9733,3.0396001,3.0453,2.8009,2.742,2.7204,3.1572,3.5832,3.6497002,27.518833,38.15779,34.42179,2317.5012,2335.5698,2327.5498,121.46619,122.72511,114.53765,0.9001411680493823,1
Uganda,UGA,2002,2.3200002,2.7097,5.05,78.57561,2367.4263,36.277794,,0,2.2367,2.27,2.31,2.7781,3.2103002,3.0100002,5.1529,5.1362,5.19,80.60729,78.5472,79.88793,2273.2449,2147.7017,2220.35,36.02471,35.385487,33.052143,0.8996955815425451,1
Pakistan,PAK,2018,1.9095001,0.0,1.7872999,16.51617,2404.5964,27.626057,4550606.0,1,2.0344,1.9643002,1.9272001,0.0,0.0,0.17029977,1.9059999,1.8771999,2.0361001,16.911457,21.246376,25.933521,2350.4595,2306.8447,2326.2458,26.688187,30.890274,32.362637,0.8950997844331251,1
Colombia,COL,2020,3.3467999,0.80340004,1.1980996,13.485977,3104.4768,34.055573,889521.0,1,3.7505999,3.9413,3.7358997,1.0981998,1.3411,1.3395,1.3642993,1.4377995,1.7491999,8.789067,7.37823,7.30628,3063.3657,3087.4905,3052.0144,37.558533,36.53475,35.282913,0.8927392636197661,1
Colombia,COL,2019,3.7505999,1.0981998,1.3642993,8.789067,3063.3657,37.558533,1501005.0,1,3.9413,3.7358997,4.2359,1.3411,1.3395,1.7663,1.4377995,1.7491999,1.4976997,7.37823,7.30628,7.9806275,3087.4905,3052.0144,3090.7598,36.53475,35.282913,36.202652,0.8909192054947026,1
Kenya,KEN,2005,2.1469,2.5594997,2.5878997,44.55765,2160.367,64.47887,,0,2.8467999,2.2436001,2.5240998,2.7286997,2.1599996,2.4729,2.5475998,2.1640997,2.9838,32.578094,31.994888,32.037,2077.4514,2118.881,1978.7292,54.057117,71.26613,52.93087,0.8904881253349288,1
Colombia,COL,2008,4.0148997,2.0688,0.94129944,16.56455,2896.4336,39.16765,,0,3.4928997,3.9420998,3.8803997,2.0863001,2.2043002,2.1882,0.9912,1.0261998,0.9763994,16.800352,19.20861,19.76305,2801.4417,2843.8552,2861.8765,37.4227,35.863426,36.516182,0.8870022026764214,1
Colombia,COL,2015,3.9761,1.1686001,1.6999998,8.078434,3075.3164,38.360764,,0,4.3514996,4.1362,4.3104,1.2749,2.0154,1.9348001,1.8119998,1.9851997,1.7896996,8.991007,9.939407,10.886019,3009.3745,2974.2944,2897.5862,37.487465,37.98665,38.83515,0.8846824714554167,1
Peru,PER,2004,4.4328003,4.9666,0.91989994,23.548195,2259.0535,41.936077,,0,4.4421,4.4744,4.5735,4.8617997,4.9691997,5.0513,0.5657997,0.6723995,0.66589975,22.456728,24.392582,27.397076,2236.0845,2289.194,2270.9688,37.62461,35.24918,35.0644,0.8839375523637453,1
Thailand,THA,2011,3.0066,0.0,1.3332999,0.30310607,2730.8213,139.6754,,0,3.0414,3.0717,3.0952,0.0,0.0,0.0,1.5278997,1.6120999,1.5225999,0.7086167,0.7856127,0.9915566,2742.8875,2659.989,2698.4988,127.25053,119.26942,140.43701,0.8831832786191443,1
Colombia,COL,2012,4.3104,1.9348001,1.7896996,10.886019,2897.5862,38.83515,,0,4.2335997,4.0603,4.1354,1.9808998,2.1173,2.1555,1.8711,1.7076998,1.1343994,11.237753,13.110653,15.020092,2803.96,2801.4343,2801.676,39.470425,34.264603,35.156128,0.8830949770703853,1
Rwanda,RWA,2016,3.1873,5.4052,4.1333,63.843815,2190.4312,49.484905,3321531.0,1,3.2485,3.2308002,3.2617002,4.6955,4.6384,6.0910997,2.1037998,2.2567,2.9727,65.241,70.16232,74.160614,2147.5796,2119.766,2121.2441,42.693493,37.278877,34.216537,0.8790656059703951,1
Honduras,HND,2010,3.0892,2.7096,0.5312996,19.558434,2600.3596,109.44184,,0,3.065,3.0962,3.1005,2.6097,2.6715002,2.6678,1.3224001,1.0689001,1.2117,18.062023,20.879866,22.01385,2367.8079,2378.6523,2353.636,96.90501,135.74896,135.07063,0.8769675386192775,1
Niger,NER,2018,1.3684998,1.2268001,2.5283,59.0125,2687.2798,37.53885,3926858.0,1,1.8167999,2.3529997,2.8405998,0.92980003,1.8495,1.6026,1.8720999,2.5914998,2.33,60.30375,68.840935,82.92745,2520.8218,2470.731,2360.1562,45.7416,50.246395,35.502804,0.8767374797683278,1
Iran,IRN,2012,3.1818004,3.8443995,3.8295999,1.767114,2873.3174,44.089348,,0,3.1692,2.7108002,2.3983002,2.8340993,4.1134996,2.6078992,4.3982997,3.9816995,3.8273997,2.257873,4.934935,4.4596844,2778.6375,2941.4187,2901.254,41.219414,43.69958,53.16736,0.8747225237220589,1
Thailand,THA,2021,2.8822,0.0,1.5661998,0.028600827,2858.2908,117.252945,,0,2.8915,2.8989,2.8894,0.0,0.0,0.0,1.6202998,1.6036,1.4819999,0.06304341,0.13463362,0.10643604,2850.377,2800.5254,2777.0461,97.80074,109.689514,120.841866,0.869860850187249,1
India,IND,1993,2.0733001,1.8185,1.8896997,47.482635,2266.514,19.651539,,0,2.4838,2.5842,3.0134,2.3912,2.0679002,2.3689,2.5208995,2.5366995,2.7586997,51.78026,50.867126,59.700523,2192.8723,2239.7808,2142.5916,12.584814,13.690594,12.648101,0.8684901930805777,1
Kenya,KEN,2021,1.6645,2.6761997,0.71259975,46.44985,2162.7363,35.00205,1900000.0,1,1.3993998,2.4759,2.1469,2.4258997,2.3769999,2.5594997,0.12269974,2.5633998,2.5878997,44.427715,37.65191,44.55765,2252.2285,2236.1565,2160.367,30.39914,40.327385,64.47887,0.8667675317671506,1
Greece,GRC,2007,2.8947,0.0,1.7262993,0.6173905,3517.7585,54.52568,,0,2.8441,2.7242,2.6543,0.0,0.0,0.0,1.6462989,1.9540992,2.2561994,0.65323144,0.44705588,0.9122613,3496.6714,3612.8474,3748.7698,51.104748,50.355534,49.825317,0.8585327689542962,1
Brazil,BRA,1996,2.1665998,2.5838997,3.2921996,20.650272,2843.2766,15.6355915,,0,2.458,2.5175,2.5705,2.4594998,2.5278997,2.7771997,3.3831997,3.6587996,3.8150997,19.514116,28.199799,29.404222,2814.711,2777.829,2776.8,16.98446,19.599321,19.253374,0.8557750430410191,1
Peru,PER,2000,4.5403004,5.2281,0.76989985,25.541615,2312.7769,35.538033,,0,4.5323,4.6552,4.705,5.3346996,5.5278997,5.6391997,1.1086001,1.6041999,1.2445998,26.29624,25.714159,26.86456,2223.0464,2211.4065,2276.539,33.205776,32.953022,33.469547,0.8518431015884316,1
Pakistan,PAK,2011,1.9272001,0.17029977,2.0361001,25.933521,2326.2458,32.362637,,0,2.2072,2.0444,2.1742,0.35479975,0.73349977,1.1756997,2.5712,2.3123999,2.4558,26.655596,34.867947,40.80809,2316.6196,2150.2456,2123.9485,31.989002,30.787882,29.878494,0.8509102259559382,1
Mozambique,MOZ,2014,3.1,3.1933,4.6294003,74.3878,2040.5703,116.35686,,0,2.94,3.1515,3.0544,3.3723,3.2835,3.0505,4.8472004,4.8541,4.3547,81.12763,87.56608,87.6932,2257.6218,2079.9355,1936.5319,64.981415,73.309166,51.029293,0.8416631701858411,1
Ecuador,ECU,2019,3.8554,0.6164994,2.4604998,4.647917,2508.7085,48.082848,,0,3.7858,4.2075996,3.975,1.5754995,1.1976995,1.6353996,2.2583995,2.1746,2.5275998,4.6928425,4.279495,4.9700646,2541.5408,2549.7742,2537.4006,48.009346,43.61772,40.534492,0.8369575369597326,1
Pakistan,PAK,2007,2.0444,0.73349977,2.3123999,34.867947,2150.2456,30.787882,,0,2.1742,2.3867002,2.4346,1.1756997,1.3111997,2.3968997,2.4558,2.6386,2.8758001,40.80809,40.866104,56.245186,2123.9485,2119.574,2131.7979,29.878494,24.808334,23.577208,0.8317563709076852,1
Thailand,THA,1996,3.2745001,0.32219982,2.1102,6.424815,2542.7144,84.27415,,0,3.22,3.2447,3.3093,0.8355999,0.7990999,1.3609998,2.1678998,2.3455,2.5644,9.249987,16.214731,21.051672,2372.3345,2316.484,2253.4656,81.248955,77.95464,75.782364,0.8285112918178552,1
Ecuador,ECU,2013,4.7936,2.8297997,2.8246996,4.4902396,2553.0076,63.4333,,0,4.7005,4.5751,4.6088,2.4675999,3.5327997,2.9651997,2.5057998,2.2963996,2.4071996,6.0294714,6.4440784,7.774476,2594.671,2601.4905,2595.9446,67.00293,70.03568,65.77738,0.8221062022505035,1
Niger,NER,2014,1.8167999,0.92980003,1.8720999,60.30375,2520.8218,45.7416,,0,2.3529997,2.8405998,2.5856998,1.8495,1.6026,1.8645,2.5914998,2.33,2.0909998,68.840935,82.92745,83.848526,2470.731,2360.1562,2342.3413,50.246395,35.502804,38.34774,0.8198449113301474,1
Honduras,HND,2003,3.14,2.8028002,2.7221003,34.000458,2310.7463,122.248276,,0,3.1096,3.1098,3.165,2.9945002,2.8608003,3.1351,3.9027002,2.7611,4.075,28.954807,26.542213,32.1215,2316.0996,2309.411,2286.1401,117.99745,115.94307,121.502106,0.8176427723987865,1
Bolivia,BOL,2022,2.8645,3.2154,2.5647998,3.2671218,2359.748,57.524933,,0,2.6348,2.7879999,3.1107,2.5793998,3.372,3.5203001,2.4819999,2.7986,2.3559997,3.0546808,4.2469187,3.138594,2387.648,2404.384,2441.057,47.667084,37.516434,45.820972,0.8106029513551429,1
Nepal,NPL,2022,1.5188999,2.0680997,2.1430998,2.4363146,3012.8118,48.9734,2508426.0,1,2.3811002,2.5008001,3.0684001,3.1013997,3.3434997,3.5752997,2.9494996,3.0726995,3.4745998,21.504414,55.676235,70.7459,2513.7954,2233.129,2073.0034,45.984905,44.247883,59.490517,0.8059692744193705,1
Ecuador,ECU,2006,4.7226,3.3223996,1.6913996,10.859648,2219.1672,65.842354,,0,4.778,4.6947002,4.702,3.0767999,3.3158998,3.5101995,1.9910998,1.6712995,2.0173995,15.378599,19.438683,18.855589,2236.7712,2212.9634,2186.8005,61.95815,56.074547,52.357544,0.8010050235959987,1
China,CHN,1990,2.0659,4.406,2.0238996,83.03197,2529.7139,24.225983,,0,2.2771,2.2909,3.1509001,5.0095,4.9698,5.8787003,2.337,2.3773994,3.422,81.39909,91.367455,97.00781,2454.54,2434.0334,2164.7676,24.813833,18.99634,23.743826,0.7949687396230734,1
Venezuela,VEN,2002,1.6199996,0.76919985,0.0,22.137087,2209.134,48.57571,,0,1.8762999,2.6162999,2.9746997,0.43139982,0.7476001,1.1103001,0.034499645,0.13549948,0.35329914,14.738451,16.7047,14.864723,2497.9583,2329.172,2342.1968,42.14127,42.070232,43.599392,0.7897383056249335,1
Thailand,THA,1998,3.2305999,0.42519975,2.1019998,5.7169533,2573.8137,100.24047,,0,3.2745001,3.22,3.2447,0.32219982,0.8355999,0.7990999,2.1102,2.1678998,2.3455,6.424815,9.249987,16.214731,2542.7144,2372.3345,2316.484,84.27415,81.248955,77.95464,0.778384876915463,1
Bolivia,BOL,2011,3.3369,3.1534,3.1590998,6.9346743,2266.2852,82.48039,,0,3.0238,3.0169,3.389,2.8115,3.318,3.5145,3.3598998,3.3862998,3.4888997,10.036579,10.567209,12.068799,2128.0427,2142.3274,2162.7737,68.627075,82.86702,76.06191,0.7739983443994025,1
Mozambique,MOZ,2022,3.19,2.6791,4.3580003,81.361374,2175.5925,135.27957,2153157.0,1,3.065,3.1,2.94,3.1069,3.1933,3.3723,4.8336,4.6294003,4.8472004,81.63159,74.3878,81.12763,2110.7837,2040.5703,2257.6218,105.59117,116.35686,64.981415,0.7715533639152835,1
Pakistan,PAK,2015,2.0344,0.0,1.9059999,16.911457,2350.4595,26.688187,,0,1.9643002,1.9272001,2.2072,0.0,0.17029977,0.35479975,1.8771999,2.0361001,2.5712,21.246376,25.933521,26.655596,2306.8447,2326.2458,2316.6196,30.890274,32.362637,31.989002,0.770474518941581,1
Peru,PER,2005,4.476,5.0111,0.46289968,25.375208,2375.594,47.35732,,0,4.4328003,4.4421,4.4744,4.9666,4.8617997,4.9691997,0.91989994,0.5657997,0.6723995,23.548195,22.456728,24.392582,2259.0535,2236.0845,2289.194,41.936077,37.62461,35.24918,0.7672687703371306,1
