agencyName,continentName,countryCode,countryName,dateUSGSignature,emergencyTypeName,projectCode,projectID,projectTitle,regionName,tableName,totalAmountApproved,windowFullName,year,projectsectors,projectclusters,projectgroupings,projectcapcodes
Food and Agriculture Organization,Africa,CIV,Cote d'Ivoire,2006-05-08,Post-conflict Needs,06-FAO-058,11,Improve the food security and nutritional status of vulnerable households in rural western Côte d'Ivoire,Western Africa,M,249599,Rapid Response,2006,Agriculture,Agriculture,,
Food and Agriculture Organization,Africa,CAF,Central African Republic,2006-06-22,Displacement,06-FAO-064,12,Emergency seeds and tools assistance to IDPs for subsistence farming resumption in Northern Ouham/Ouham Pendé,Middle Africa,M,193200,Rapid Response,2006,Agriculture,Agriculture,,
Food and Agriculture Organization,Africa,TCD,Chad,2006-06-23,Displacement,06-FAO-072,13,Emergency assistance to 10000 IDPs in eastern Chad through seeds and agricultural tools supply,Middle Africa,M,269333,Rapid Response,2006,Agriculture,Agriculture,,
Food and Agriculture Organization,Asia,AFG,Afghanistan,2006-08-18,Drought,06-FAO-155,14,Support to vulnerable population in drought-affected areas through the provision of quality weat seedds and fertilizer for the 2006 autumn and 2007 spring planting season,Southern Asia,M,1670298,Rapid Response,2006,Agriculture,Agriculture,,
International Organization for Migration,Africa,CIV,Cote d'Ivoire,2006-03-22,Post-conflict Needs,06-IOM-016,17,Response to the Immediate Needs of the IDPs for Protection,Western Africa,M,272102,Rapid Response,2006,Protection,Protection,,
International Organization for Migration,Africa,CIV,Cote d'Ivoire,2006-03-22,Post-conflict Needs,06-IOM-017,18,Respond to the Immediate Needs of the IDPs to Access Potable Water,Western Africa,M,224336,Rapid Response,2006,"Water, Sanitation and Hygiene","Water, Sanitation and Hygiene",,
International Organization for Migration,Asia,TLS,Timor-Leste,2006-06-09,Post-conflict Needs,06-IOM-124,20,Support for Internally Displaced Population in East-Timor,South-Eastern Asia,M,873063,Rapid Response,2006,Shelter and Non-Food Items,Shelter and Non-Food Items,,
International Organization for Migration,Asia,LKA,Sri Lanka,2006-09-15,Post-conflict Needs,06-IOM-223,21,Meeting Basic Needs of Recently Displaced IDPs,Southern Asia,M,149800,Rapid Response,2006,"Water, Sanitation and Hygiene","Water, Sanitation and Hygiene",,
International Organization for Migration,Asia,LKA,Sri Lanka,2006-09-20,Post-conflict Needs,06-IOM-225,23,Transport and Logistics Support for Newly Displaced People,Southern Asia,M,213000,Rapid Response,2006,Camp Coordination and Camp Management,Camp Coordination and Camp Management,,
International Organization for Migration,Asia,LKA,Sri Lanka,2006-10-02,Post-conflict Needs,06-IOM-226,24,Health Sector Response to meet immediate public health needs of IDPs in conflict affected areas of Sri Lanka & prevention of outbreaks of potential communicable diseases in the displaced population.,Southern Asia,M,149800,Rapid Response,2006,Health,Health,,
United Nations Development Programme,Africa,DJI,Djibouti,2006-04-13,Drought,06-UDP-025,25,Strengthening ONARS capacity in the area of communication and logistics coordination,Eastern Africa,M,26000,Rapid Response,2006,Common Services,Common Services,,
United Nations Development Programme,Africa,GNB,Guinea-Bissau,2006-06-07,Post-conflict Needs,06-UDP-052,26,Humanitarian Mine Action,Western Africa,M,316800,Rapid Response,2006,Protection,Protection,,
United Nations Development Programme,Asia,LKA,Sri Lanka,2006-09-19,Post-conflict Needs,06-DSS-265,28,Security Services (Safety and Staff and Operations),Southern Asia,M,191000,Rapid Response,2006,Common Services,Common Services,,
United Nations Development Programme,Africa,ETH,Ethiopia,2006-06-13,Drought,06-DSS-033,29,Security and safety,Eastern Africa,M,80000,Rapid Response,2006,Common Services,Common Services,,
United Nations Population Fund,Africa,KEN,Kenya,2006-04-26,Drought,06-FPA-035,30,Provide trainings on the Minimum Initial Service Package (MISP) for Reproductive Health and Post-Exposure Prophylaxis,Eastern Africa,M,100000,Rapid Response,2006,Health,Health,,
United Nations Population Fund,Africa,ETH,Ethiopia,2006-08-07,Drought,06-FPA-059,31,Reduce mortality and morbidity due to life threatening reproductive health conditions as well as GBV resulting from food insecurity and water shortage in Somali region and Borena zone,Eastern Africa,M,49755,Rapid Response,2006,Health,Health,,
United Nations Population Fund,Asia,LKA,Sri Lanka,2006-10-02,Post-conflict Needs,06-FPA-224,36,Health Sector Response to meet immediate public health needs of IDPs in the conflict areas of Sri Lanka and prevention of outbreaks of potential communicable diseases in the displaced population.,Southern Asia,M,149800,Rapid Response,2006,Health,Health,,
United Nations High Commissioner for Refugees,Africa,SDN,Republic of the Sudan,2006-05-11,Displacement,06-HCR-048,37,Emergency Assistance for Chadian asylum seekers in West Darfur.,Northern Africa,M,1500000,Rapid Response,2006,Multi-Sector,Multi-Sector,,
United Nations High Commissioner for Refugees,Africa,TCD,Chad,2006-06-23,Displacement,06-HCR-132,38,Emergency Assistance to Central African refugees in Chad,Middle Africa,M,212868,Rapid Response,2006,Multi-Sector,Multi-Sector,,
United Nations High Commissioner for Refugees,Asia,TLS,Timor-Leste,2006-06-09,Post-conflict Needs,06-HCR-125,39,IDP Protection Dili,South-Eastern Asia,M,1241949,Rapid Response,2006,Shelter and Non-Food Items,Shelter and Non-Food Items,,
United Nations High Commissioner for Refugees,Africa,CAF,Central African Republic,2006-08-22,Displacement,06-HCR-160,40,Emergency food assistance and transportation of food to sudanese refugees in Mboki,Middle Africa,M,266149,Rapid Response,2006,Multi-Sector,Multi-Sector,,
United Nations High Commissioner for Refugees,Africa,CAF,Central African Republic,2006-07-31,Displacement,06-HCR-147,41,Life-saving protection activities for the internally-displaced population in the prefectures of Ouham and Ouham-Pende in Northern CAR,Middle Africa,M,150000,Rapid Response,2006,Multi-Sector,Multi-Sector,,
United Nations High Commissioner for Refugees,Asia,LKA,Sri Lanka,2006-09-13,Post-conflict Needs,06-HCR-228,42,Provision of emergency shelter and Non Food Items for IDPs,Southern Asia,M,1224000,Rapid Response,2006,Shelter and Non-Food Items,Shelter and Non-Food Items,,
United Nations High Commissioner for Refugees,Asia,LKA,Sri Lanka,2006-09-14,Post-conflict Needs,06-HCR-229,43,Provide Basic Protection Coverage for IDPs,Southern Asia,M,647000,Rapid Response,2006,Protection,Protection,,
United Nations High Commissioner for Refugees,Africa,KEN,Kenya,2006-09-26,Displacement,06-HCR-269,44,Emergency assistance for Somali new arrivals in Dadaab camps,Eastern Africa,M,1483836.5,Rapid Response,2006,Multi-Sector,Multi-Sector,,
United Nations Children’s Fund,Africa,ERI,Eritrea,2006-04-07,Drought,06-CEF-012,50,Drought response in Eritrea,Eastern Africa,M,1205600,Rapid Response,2006,Multi-Sector,Multi-Sector,,
United Nations Children’s Fund,Africa,ETH,Ethiopia,2006-04-13,Drought,06-CEF-013,51,Emergency response in the drought affected areas of Ethiopia,Eastern Africa,M,1155000,Rapid Response,2006,Nutrition,Nutrition,,
United Nations Children’s Fund,Africa,KEN,Kenya,2006-04-07,Drought,06-CEF-014,52,Emergency outreach services in health and nutrition  for children and women in ten worst drought afeected districts in Kenya.,Eastern Africa,M,1570079.5,Rapid Response,2006,Nutrition,Nutrition,,
United Nations Children’s Fund,Africa,DJI,Djibouti,2006-04-13,Drought,06-CEF-026,54,"Drought response in Djibouti, Health and nutrion and water and sanitation",Eastern Africa,M,693000,Rapid Response,2006,Multi-Sector,Multi-Sector,,
United Nations Children’s Fund,Africa,ERI,Eritrea,2006-08-07,Drought,06-CEF-028,55,Meningitis Control in Eritrea,Eastern Africa,M,1141140,Rapid Response,2006,Multi-Sector,Multi-Sector,,
United Nations Children’s Fund,Africa,ETH,Ethiopia,2006-04-13,Drought,06-CEF-030,56,Emergency response to the drought affected areas of Ethiopia,Eastern Africa,M,949999.93,Rapid Response,2006,"Water, Sanitation and Hygiene","Water, Sanitation and Hygiene",,
United Nations Children’s Fund,Africa,KEN,Kenya,2006-04-13,Drought,06-CEF-039,57,"Water for Health facilities, Feeding centres and schools",Eastern Africa,M,600000.01,Rapid Response,2006,"Water, Sanitation and Hygiene","Water, Sanitation and Hygiene",,
United Nations Children’s Fund,Africa,SDN,Republic of the Sudan,2006-05-11,Multiple Emergencies,06-CEF-047,58,Emergency Interventions for Gereida and surrounding areas,Northern Africa,M,4500000,Rapid Response,2006,Multi-Sector,Multi-Sector,,
United Nations Children’s Fund,Africa,GNB,Guinea-Bissau,2006-05-30,Post-conflict Needs,06-CEF-054-E,59,"UNICEF Proposal for use of CERF grant Emergency Relief Operation 10,000 persons for three months",Western Africa,M,96288,Rapid Response,2006,Education,Education,,
United Nations Children’s Fund,Africa,GNB,Guinea-Bissau,2006-05-30,Post-conflict Needs,06-CEF-054-D,60,"UNICEF Proposal for use of CERF grant Emergency Relief Operation 10,000 persons for three months",Western Africa,M,81698,Rapid Response,2006,Health,Health,,
United Nations Children’s Fund,Africa,GNB,Guinea-Bissau,2006-05-30,Post-conflict Needs,06-CEF-054-C,61,"UNICEF Proposal for use of CERF grant Emergency Relief Operation 10,000 persons for three months",Western Africa,M,145590,Rapid Response,2006,Protection,Protection,,
United Nations Children’s Fund,Africa,GNB,Guinea-Bissau,2006-05-30,Post-conflict Needs,06-CEF-054-B,62,"UNICEF Proposal for use of CERF grant Emergency Relief Operation 10,000 persons for three months",Western Africa,M,32679,Rapid Response,2006,Shelter and Non-Food Items,Shelter and Non-Food Items,,
United Nations Children’s Fund,Africa,GNB,Guinea-Bissau,2006-05-30,Post-conflict Needs,06-CEF-054-A,63,"UNICEF Proposal for use of CERF grant Emergency Relief Operation 10,000 persons for three months",Western Africa,M,289445,Rapid Response,2006,"Water, Sanitation and Hygiene","Water, Sanitation and Hygiene",,
United Nations Children’s Fund,Asia,TLS,Timor-Leste,2006-06-09,Post-conflict Needs,06-CEF-123,64,Water and environmental sanitation,South-Eastern Asia,M,733700,Rapid Response,2006,"Water, Sanitation and Hygiene","Water, Sanitation and Hygiene",,
United Nations Children’s Fund,Africa,TCD,Chad,2006-06-23,Displacement,06-CEF-073-1,65,Emergency support to IDPs in Eastern Chad,Middle Africa,M,588430,Rapid Response,2006,Education,Education,,
United Nations Children’s Fund,Africa,TCD,Chad,2006-06-28,Post-conflict Needs,06-CEF-073-2,66,Emergency support to internally displaced persons in Eastern Chad,Middle Africa,M,594000,Rapid Response,2006,Health,Health,,
United Nations Children’s Fund,Africa,TCD,Chad,2006-06-23,Displacement,06-CEF-073-3,67,Emergency support to internally displaced persons in Eastern Chad,Middle Africa,M,687632,Rapid Response,2006,"Water, Sanitation and Hygiene","Water, Sanitation and Hygiene",,
United Nations Children’s Fund,Asia,LBN,Lebanon,2006-07-31,Multiple Emergencies,06-CEF-150,68,Emergency Assistance for water sanitation in Lebanon,Western Asia,M,1000000,Rapid Response,2006,"Water, Sanitation and Hygiene","Water, Sanitation and Hygiene",,
United Nations Children’s Fund,Africa,CAF,Central African Republic,2006-07-28,Displacement,06-CEF-062,69,Emergency life saving assistance to the IDPs in the prefectures of Ouham Pendé,Middle Africa,M,369750,Rapid Response,2006,Shelter and Non-Food Items,Shelter and Non-Food Items,,
United Nations Children’s Fund,Africa,CAF,Central African Republic,2006-07-28,Displacement,06-CEF-149,70,Life-saving protection activities for IDPs in the prefectures of Ouham and Ouham-Pendé in northern CAR.,Middle Africa,M,80250,Rapid Response,2006,Multi-Sector,Multi-Sector,,
United Nations Children’s Fund,Asia,AFG,Afghanistan,2006-08-11,Drought,06-CEF-156,71,Therapeutic feeding programme for severely malnourished children.,Southern Asia,M,200000,Rapid Response,2006,Nutrition,Nutrition,,
United Nations Children’s Fund,Asia,AFG,Afghanistan,2006-08-11,Drought,06-CEF-157,72,Water provision in drought affected areas,Southern Asia,M,500000,Rapid Response,2006,"Water, Sanitation and Hygiene","Water, Sanitation and Hygiene",,
United Nations Children’s Fund,Africa,KEN,Kenya,2006-09-26,Displacement,06-CEF-267,73,Water development for Somali refugees influx to Dadaab Camp,Eastern Africa,M,278093,Rapid Response,2006,"Water, Sanitation and Hygiene","Water, Sanitation and Hygiene",,
United Nations Children’s Fund,Africa,ETH,Ethiopia,2006-10-04,Flood,06-CEF-272,78,Emergency Response to the floods combined to the outbreak of acute watery diarrhoea in Ethiopia,Eastern Africa,M,927000,Rapid Response,2006,"Water, Sanitation and Hygiene","Water, Sanitation and Hygiene",,
World Food Programme,Africa,DJI,Djibouti,2006-03-23,Drought,06-WFP-007,79,Emergency Food Assistance to victims of Drought,Eastern Africa,M,250000,Rapid Response,2006,Food Assistance,Food Assistance,,
World Food Programme,Africa,KEN,Kenya,2006-03-23,Drought,06-WFP-008,80,Food assistance to drought affected people B/R No.06,Eastern Africa,M,3600000,Rapid Response,2006,Food Assistance,Food Assistance,,
World Food Programme,Africa,SOM,Somalia,2006-03-23,Drought,06-WFP-009,81,Somalia PRRO 10191.0 Food aid for relief and recovery,Eastern Africa,M,852000,Rapid Response,2006,Food Assistance,Food Assistance,,
World Food Programme,Africa,DJI,Djibouti,2006-05-11,Drought,06-WFP-022,82,Emergency Food Assistance to Victims of Drought,Eastern Africa,M,250000,Rapid Response,2006,Food Assistance,Food Assistance,,
World Food Programme,Africa,NER,Niger,2006-04-10,Multiple Emergencies,06-WFP-018,83,Strengthening the means of subsistence of vulnerable populations and targeted assistance for malnourished children,Western Africa,M,5503822.91,Rapid Response,2006,Food Assistance,Food Assistance,,
World Food Programme,Africa,KEN,Kenya,2006-06-11,Multiple Emergencies,06-WFP-034,84,Communications,Eastern Africa,M,50000,Rapid Response,2006,Food Assistance,Food Assistance,,
World Food Programme,Africa,SOM,Somalia,2006-05-11,Drought,06-WFP-043-C,85,Logistics for Somalia Drought Operation,Eastern Africa,M,1450000,Rapid Response,2006,Common Services,Common Services,,
World Food Programme,Asia,TLS,Timor-Leste,2006-06-09,Drought,06-WFP-126,86,Emergency Food Assistance to Victims of Civil Strife in Timor-Leste,South-Eastern Asia,M,1199219,Rapid Response,2006,Food Assistance,Food Assistance,,
World Food Programme,Africa,KEN,Kenya,2006-05-11,Drought,06-WFP-038,87,WFP Regional Logistics Coordination Cell in Support of Drought Affected Countries in the Horn of Africa,Eastern Africa,M,150000,Rapid Response,2006,Common Services,Common Services,,
World Food Programme,Africa,SOM,Somalia,2006-05-11,Drought,06-WFP-043-A,88,Emergency School Feeding for the Drough-Affected Population of Southern and Central Somalia,Eastern Africa,M,500000,Rapid Response,2006,Food Assistance,Food Assistance,,
World Food Programme,Africa,GNB,Guinea-Bissau,2006-05-30,Post-conflict Needs,06-WFP-055,89,Assistance of the Internally Displaced Persons of the Conflict in Casamance border areas in Guinea Bissau,Western Africa,M,399030.51,Rapid Response,2006,Food Assistance,Food Assistance,,
World Food Programme,Africa,SDN,Republic of the Sudan,2006-05-11,Displacement,06-WFP-045,90,Food assistance to people affected by conflict (Darfur),Northern Africa,M,11500000,Rapid Response,2006,Food Assistance,Food Assistance,,
World Food Programme,Africa,TCD,Chad,2006-07-05,Displacement,06-WFP-133,91,Assistance to Sudanese Refugees and Host Populations in Eastern Chad,Middle Africa,M,800360,Rapid Response,2006,Food Assistance,Food Assistance,,
World Food Programme,Africa,ETH,Ethiopia,2006-05-11,Drought,06-WFP-032,92,No title. PRRO 10362.0,Eastern Africa,M,180000,Rapid Response,2006,Common Services,Common Services,,
World Food Programme,Africa,SOM,Somalia,2006-05-11,Drought,06-WFP-043-B,93,Inter-Agency Security Telecommunications Support for Drought Operations in Somalia,Eastern Africa,M,499984,Rapid Response,2006,Common Services,Common Services,,
World Food Programme,Africa,SDN,Republic of the Sudan,2006-05-11,Multiple Emergencies,06-WFP-046,94,"Non-Food Item Common Pipeline, Component of WFP UNJLC SO 10342.1",Northern Africa,M,300000,Rapid Response,2006,Shelter and Non-Food Items,Shelter and Non-Food Items,,
World Food Programme,Asia,LBN,Lebanon,2006-07-28,Multiple Emergencies,06-WFP-145,95,Emergency Telecommunications in Support of Staff Security,Western Asia,M,500000,Rapid Response,2006,Common Services,Common Services,,
World Food Programme,Asia,LBN,Lebanon,2006-07-28,Multiple Emergencies,06-WFP-146,96,Logistics Operations,Western Asia,M,2500000,Rapid Response,2006,Common Services,Common Services,,
World Food Programme,Asia,AFG,Afghanistan,2006-08-10,Drought,06-WFP-158,97,"Feeding drought-affected people
",Southern Asia,M,10000000,Rapid Response,2006,Food Assistance,Food Assistance,,
World Food Programme,Africa,CAF,Central African Republic,2006-07-28,Displacement,06-WFP-061,98,Assistance to the longstanding affected population in north western regions of CAR,Middle Africa,M,1200000,Rapid Response,2006,Food Assistance,Food Assistance,,
World Food Programme,Africa,SDN,Republic of the Sudan,2006-09-14,Post-conflict Needs,06-WFP-244,99,Humanitarian Air Service,Northern Africa,M,4500000,Rapid Response,2006,Common Services,Common Services,,
World Food Programme,Asia,LKA,Sri Lanka,2006-09-13,Multiple Emergencies,06-WFP-227,100,Augmentation of logistics preparedness capacity,Southern Asia,M,1439150,Rapid Response,2006,Common Services,Common Services,,
World Food Programme,Africa,ETH,Ethiopia,2006-10-04,Flood,06-WFP-271,107,PRRO 10362.0 Enabling livelihood protection and promotion.,Eastern Africa,M,1790602,Rapid Response,2006,Food Assistance,Food Assistance,,
World Food Programme,Africa,KEN,Kenya,2006-09-28,Displacement,06-WFP-268,108,Food assistance to Somali and Sudanese refugees PRRO 10258.1,Eastern Africa,M,1738070.5,Rapid Response,2006,Food Assistance,Food Assistance,,
World Health Organization,Africa,CIV,Cote d'Ivoire,2006-03-21,Unspecified Health Emergency,06-WHO-001,109,Health in the region of Moyen Cavally,Western Africa,M,200000,Rapid Response,2006,Health,Health,,
World Health Organization,Africa,DJI,Djibouti,2006-03-15,Drought,06-WHO-002,110,Health and Nutrition,Eastern Africa,M,70000,Rapid Response,2006,Health,Health,,
World Health Organization,Africa,ERI,Eritrea,2006-03-15,Drought,06-WHO-003,111,Health and Nutrition,Eastern Africa,M,450000,Rapid Response,2006,Health,Health,,
World Health Organization,Africa,ETH,Ethiopia,2006-03-15,Drought,06-WHO-004,112,No title.,Eastern Africa,M,350000,Rapid Response,2006,Health,Health,,
World Health Organization,Africa,KEN,Kenya,2006-03-15,Drought,06-WHO-005,113,Health and Nutrition,Eastern Africa,M,430000,Rapid Response,2006,Health,Health,,
World Health Organization,Africa,SOM,Somalia,2006-03-15,Drought,06-WHO-006,114,Health and Nutrition,Eastern Africa,M,404540,Rapid Response,2006,Health,Health,,
World Health Organization,Africa,DJI,Djibouti,2006-04-10,Drought,06-WHO-023,115,Strengthening of health service delivery in drought-affected areas,Eastern Africa,M,150000,Rapid Response,2006,Health,Health,,
World Health Organization,Africa,ERI,Eritrea,2006-04-10,Drought,06-WHO-027,116,"Drought response in Eritrea, Health and nutrition",Eastern Africa,M,890000,Rapid Response,2006,Health,Health,,
World Health Organization,Africa,ETH,Ethiopia,2006-04-10,Drought,06-WHO-029,117,No title.,Eastern Africa,M,463600,Rapid Response,2006,Nutrition,Nutrition,,
World Health Organization,Africa,KEN,Kenya,2006-04-10,Drought,06-WHO-036,118,"Reduce avoidable mortality and morbidity due to life-threatening health conditions resulting from food insecurity, and strengthen service delivery",Eastern Africa,M,300000,Rapid Response,2006,Health,Health,,
World Health Organization,Africa,SOM,Somalia,2006-04-10,Drought,06-WHO-041,119,Health,Eastern Africa,M,300000,Rapid Response,2006,Health,Health,,
World Health Organization,Africa,SDN,Republic of the Sudan,2006-05-11,Multiple Emergencies,06-WHO-050,120,To increase and sustain life-saving health care activities,Northern Africa,M,1200000,Rapid Response,2006,Health,Health,,
World Health Organization,Africa,SDN,Republic of the Sudan,2006-06-23,Cholera,06-WHO-051,121,Rapid Response to Cholera Outbreak in Southern Sudan,Northern Africa,M,1024699,Rapid Response,2006,Health,Health,,
World Health Organization,Africa,CAF,Central African Republic,2006-07-28,Post-conflict Needs,06-WHO-060,122,Emergency basic health provision to IDPs and local population in nmorthern Ouham and Ouham Pendé,Middle Africa,M,247170,Rapid Response,2006,Health,Health,,
World Health Organization,Asia,LBN,Lebanon,2006-07-31,Multiple Emergencies,06-WHO-148,123,Emergency Health Response to the Middle East Crisis,Western Asia,M,1000000,Rapid Response,2006,Health,Health,,
World Health Organization,Asia,AFG,Afghanistan,2006-08-11,Drought,06-WHO-154,124,Provision of health service delivery for vulnerable in drought-affected areas.,Southern Asia,M,398040,Rapid Response,2006,Health,Health,,
World Health Organization,Africa,SOM,Somalia,2006-08-02,Drought,06-WHO-144,125,Water quality monitoring for the drought affected population in South/Central Somalia,Eastern Africa,M,149800,Rapid Response,2006,"Water, Sanitation and Hygiene","Water, Sanitation and Hygiene",,
World Health Organization,Africa,ETH,Ethiopia,2006-10-04,Flood,06-WHO-273,127,Health sector respnse to save lives through prevention and control of acute watery diarrhoea (AWD) epidemic in Ethiopia,Eastern Africa,M,150000,Rapid Response,2006,Health,Health,,
World Health Organization,Africa,ETH,Ethiopia,2006-10-04,Flood,06-WHO-274,128,Health sector response to save life through prevention and control of malaria in flood affected regions in Ethiopia,Eastern Africa,M,100000,Rapid Response,2006,Health,Health,,
World Health Organization,Asia,LKA,Sri Lanka,2006-10-02,Unspecified Health Emergency,06-WHO-222,129,Health Sector Response to meet immediate public health of Internally Displaced Persons (IDPs),Southern Asia,M,540550,Rapid Response,2006,Health,Health,,
Food and Agriculture Organization,Africa,COD,Democratic Republic of the Congo,2006-07-07,Multiple Emergencies,06-FAO-113,130,Appui à la coordination des opérations agricoles d'urgence et renfocement du système d'information et d'alerte rapide et d'évaluation de la sécurité alimentaire,Middle Africa,M,300000,Underfunded Emergencies,2006,Agriculture,Agriculture,,
Food and Agriculture Organization,Africa,COD,Democratic Republic of the Congo,2006-07-07,Multiple Emergencies,06-FAO-114,131,Renforcer les mécanismes de survie des mènages ciblés,Middle Africa,M,3000000,Underfunded Emergencies,2006,Agriculture,Agriculture,,
Food and Agriculture Organization,Africa,BDI,Burundi,2006-06-28,Post-conflict Needs,06-FAO-136,132,"Assistance agricole d'urgence aux populations rurales vulnérabilisées  par le conflit et les aléas naturels, aux repatriés en réinstallation, ainsi qu'aux groupes spécifiques vulnérables.",Eastern Africa,M,300000,Underfunded Emergencies,2006,Agriculture,Agriculture,,
Food and Agriculture Organization,Africa,COG,Republic of Congo,2006-06-28,Multiple Emergencies,06-FAO-102,133,Programme d'urgence de fournitures d'infrats agricoles aux populations retournées après la guerre dans la Département du POOL,Middle Africa,M,91590,Underfunded Emergencies,2006,Agriculture,Agriculture,,
Food and Agriculture Organization,Africa,GIN,Guinea,2006-08-07,Multiple Emergencies,06-FAO-090,134,Appui à la sécurité alimentaire en faveur des ménages d'accueil et personnes déplacées internes et lutte contre la malnutrition en Guinée forestière.,Western Africa,M,320000,Underfunded Emergencies,2006,Agriculture,Agriculture,,
International Organization for Migration,Americas,HTI,Haiti,2006-06-06,Storm,06-IOM-094,135,Ravine Control in Mariani and Drywall Construction in Savanne Pistache,Latin America and the Caribbean,M,270000,Underfunded Emergencies,2006,Protection,Protection,,
International Organization for Migration,Africa,ZWE,Zimbabwe,2006-06-28,Multiple Emergencies,06-IOM-120,136,Emergency Provision of Shelter Assistance,Eastern Africa,M,250000,Underfunded Emergencies,2006,Shelter and Non-Food Items,Shelter and Non-Food Items,,
United Nations Development Programme,Africa,COD,Democratic Republic of the Congo,2006-07-14,Multiple Emergencies,06-UDP-141,138,Emergency Assistance to Returning Refugees and IDPs in South Kivu,Middle Africa,M,849462,Underfunded Emergencies,2006,Multi-Sector,Multi-Sector,,
United Nations Population Fund,Africa,CAF,Central African Republic,2006-06-15,Post-conflict Needs,06-FPA-083,139,Reducing maternal and neonatal mortality through the provision of quality EmOC services in conflict-affected zones of Ouham and Ouham-Pende,Middle Africa,M,251450,Underfunded Emergencies,2006,Health,Health,,
United Nations Population Fund,Africa,COG,Republic of Congo,2006-07-19,Multiple Emergencies,06-FPA-097,140,Amélioration des conditions de vie  des femmes par la maternité à moindre risque.,Middle Africa,M,179787,Underfunded Emergencies,2006,Health,Health,,
United Nations High Commissioner for Refugees,Africa,TCD,Chad,2006-06-23,Displacement,06-HCR-078,141,Emergency assistance to Sudanese and Central African refugees in Chad,Middle Africa,M,3487132,Underfunded Emergencies,2006,Multi-Sector,Multi-Sector,,
United Nations High Commissioner for Refugees,Africa,BDI,Burundi,2006-06-28,Post-conflict Needs,06-HCR-137,142,Return and reintegration of Burundian Refugees,Eastern Africa,M,699955.2,Underfunded Emergencies,2006,Multi-Sector,Multi-Sector,,
United Nations High Commissioner for Refugees,Africa,ETH,Ethiopia,2006-06-28,Displacement,06-HCR-128,143,Care and Maintenance for Sudanese Refugees in Western Ethiopia,Eastern Africa,M,222686,Underfunded Emergencies,2006,Multi-Sector,Multi-Sector,,
United Nations High Commissioner for Refugees,Africa,ETH,Ethiopia,2006-06-28,Displacement,06-HCR-130,144,Care and Maintenance for Eritrean Refugees in Northern Ethiopia,Eastern Africa,M,184610,Underfunded Emergencies,2006,Multi-Sector,Multi-Sector,,
United Nations High Commissioner for Refugees,Africa,KEN,Kenya,2006-06-28,Multiple Emergencies,06-HCR-118,145,Life-sustaining Humanitarian Assistance to Refugees in Camps in Kenya,Eastern Africa,M,500000,Underfunded Emergencies,2006,Multi-Sector,Multi-Sector,,
United Nations High Commissioner for Refugees,Africa,CAF,Central African Republic,2006-06-19,Post-conflict Needs,06-HCR-081,146,Humanitarian assistance to refugees in the Central African Republic,Middle Africa,M,100000,Underfunded Emergencies,2006,Multi-Sector,Multi-Sector,,
