Year,Cluster,Agency,Budget
2020,Protection,UNHCR,743151
2020,Protection,UN Women,307275
2020,Protection,UNICEF,672433
2020,Protection,UNFPA,397927
2020,Water Sanitation Hygiene,UNICEF,200726
2020,Agriculture,FAO,700000
2020,Food Assistance,WFP,456000
2020,Health,WHO,499733
2020,Health,UNICEF,699887
2020,Health,UNFPA,700069
2020,Nutrition,WFP,1444000
2020,Water Sanitation Hygiene,UNICEF,500000
2020,Education,UNICEF,1479668
2020,Shelter and Non-Food Items,UNHCR,4072039
2020,Shelter and Non-Food Items,UNICEF,2698219
2020,Shelter and Non-Food Items,IOM,1357517
2020,Agriculture,FAO,1000000
2020,Food Assistance,WFP,4485266
2020,Health,WHO,1203825
2020,Health,UNFPA,1473995
2020,Nutrition,UNICEF,957432
2020,Protection,UNHCR,1357346
2020,Protection,UNICEF,1305590
2020,Protection,UNFPA,2210993
2020,Water Sanitation Hygiene,UNICEF,2263022
2020,Water Sanitation Hygiene,IOM,1203835
2020,Common Services,WFP,2015120
2020,Multi-Sector Refugee Assistance,UNHCR,900023
2020,Agriculture,FAO,600000
2020,Food Assistance,WFP,1998787
2020,Health,WHO,798270
2020,Health,UNFPA,199997
2020,Nutrition,UNICEF,996545
2020,Protection,UN Women,150078
2020,Water Sanitation Hygiene,UNICEF,250000
2020,Education,UNICEF,1450000
2020,Education,UNFPA,165000
2020,Agriculture,FAO,2750000
2020,Food Assistance,WFP,1249881
2020,Health,WHO,800126
2020,Health,UNICEF,500001
2020,Health,UNFPA,1301752
2020,Nutrition,UNICEF,400000
2020,Protection,UNICEF,900001
2020,Protection,UNFPA,1332644
2020,Protection,IOM,1150000
2020,Agriculture,FAO,899999
2020,Food Assistance,WFP,2050000
2020,Health,WHO,700000
2020,Protection,UNICEF,412513
2020,Protection,IOM,100000
2020,Water Sanitation Hygiene,UNICEF,837526
2020,Health,UNHCR,2000313
2020,Health,UNFPA,399979
2020,Protection,UNHCR,298897
2020,Protection,UNRWA,600000
2020,Protection,UN Women,400020
2020,Protection,UNFPA,301191
2020,Water Sanitation Hygiene,UNICEF,2000000
2020,Education,UNRWA,968456
2020,Education,UNICEF,1620000
2020,Shelter and Non-Food Items,UNHCR,2271860
2020,Shelter and Non-Food Items,UNRWA,1007985
2020,Health,UNHCR,1845886
2020,Health,WHO,1492431
2020,Health,UNFPA,800000
2020,Protection,UNHCR,2981816
2020,Education,UNICEF,139913
2020,Agriculture,FAO,800000
2020,Agriculture,IOM,408000
2020,Food Assistance,WFP,1452000
2020,Health,UNHCR,600000
2020,Health,UNFPA,438000
2020,Nutrition,WFP,550000
2020,Nutrition,UNICEF,729548
2020,Protection,UNFPA,162000
2020,Water Sanitation Hygiene,UNICEF,129919
2020,Water Sanitation Hygiene,IOM,392000
2020,Common Services,WFP,198000
2020,Camp Coordination / Management,UNHCR,46500
2020,Camp Coordination / Management,IOM,247000
2020,Education,UNICEF,255500
2020,Shelter and Non-Food Items,UNHCR,302250
2020,Shelter and Non-Food Items,IOM,676000
2020,Agriculture,FAO,700000
2020,Food Assistance,WFP,1499766
2020,Health,WHO,250061
2020,Health,UNICEF,182500
2020,Health,UNFPA,195018
2020,Health,IOM,52000
2020,Protection,UNHCR,426251
2020,Protection,UNICEF,383250
2020,Protection,UNFPA,455043
2020,Protection,IOM,325000
2020,Water Sanitation Hygiene,UNICEF,1003749
2020,Education,UNICEF,550082
2020,Shelter and Non-Food Items,IOM,1100000
2020,Agriculture,FAO,1099350
2020,Food Assistance,WFP,2275000
2020,Health,WHO,999997
2020,Nutrition,WFP,225000
2020,Nutrition,UNICEF,550083
2020,Protection,UNHCR,1120003
2020,Protection,UNICEF,550082
2020,Protection,UNFPA,699994
2020,Water Sanitation Hygiene,UNICEF,550082
2020,Common Services,WFP,951697
2020,Multi-Sector Refugee Assistance,UNHCR,280001
2020,Camp Coordination / Management,UNHCR,646000
2020,Camp Coordination / Management,IOM,624000
2020,Education,UNICEF,2991767
2020,Shelter and Non-Food Items,UNHCR,1938000
2020,Shelter and Non-Food Items,IOM,1776000
2020,Protection,UNHCR,1216000
2020,Protection,UNICEF,1407890
2020,Protection,UNFPA,2402289
2020,Health,UNFPA,703101
2020,Nutrition,WFP,2063958
2020,Nutrition,WHO,535611
2020,Nutrition,UNICEF,2200000
2020,Protection,UN Women,175001
2020,Protection,WHO,109703
2020,Protection,UNFPA,186900
2020,Early Recovery,UNDP,2000000
2020,Education,UNICEF,1469312
2020,Shelter and Non-Food Items,UNHCR,4000000
2020,Agriculture,WFP,3500000
2020,Agriculture,FAO,3504124
2020,Health,WHO,2700001
2020,Nutrition,UNICEF,2203968
2020,Protection,UNICEF,1469312
2020,Water Sanitation Hygiene,UNICEF,4040610
2020,Health,WHO,499984
2020,Health,UNFPA,489499
2020,Nutrition,UNICEF,600000
2020,Protection,UNHCR,2000000
2020,Protection,UN Women,960054
2020,Protection,UNFPA,209785
2020,Multi-purpose CASH,UN Women,240014
2020,Health,WHO,5940001
2020,Health,UNFPA,9999995
2020,Nutrition,WHO,3060000
2020,Nutrition,UNICEF,7999970
2020,Water Sanitation Hygiene,UNICEF,7999971
