Year,Cluster,Agency,Budget
2018,Agriculture,FAO,831847
2018,Food Assistance,WFP,1717708
2018,Health,WHO,146956
2018,Health,UNICEF,1127942
2018,Health,UNICEF,2500000
2018,Common Services,WFP,1153061
2018,Health,WHO,750000
2018,Health,UNICEF,150000
2018,Health,IOM,100000
2018,Agriculture,FAO,1500000
2018,Food Assistance,WFP,2700000
2018,Nutrition,WFP,600113
2018,Nutrition,WHO,497550
2018,Nutrition,UNICEF,1700000
2018,Agriculture,FAO,1000000
2018,Food Assistance,WFP,975875
2018,Nutrition,UNICEF,1000000
2018,Common Services,WFP,999998
2018,Agriculture,WFP,1199964
2018,Agriculture,FAO,1599998
2018,Food Assistance,WFP,2880090
2018,Health,WHO,387535
2018,Protection,UNICEF,316330
2018,Protection,UNFPA,352012
2018,Protection,IOM,71107
2018,Water Sanitation Hygiene,UNICEF,399217
2018,Shelter and Non-Food Items,IOM,1550001
2018,Agriculture,FAO,1365883
2018,Food Assistance,WFP,1000000
2018,Health,WHO,993790
2018,Protection,UNHCR,809241
2018,Protection,UNICEF,199997
2018,Protection,UNFPA,150040
2018,Water Sanitation Hygiene,UNICEF,1756980
2018,Common Services,WFP,1560975
2018,Shelter and Non-Food Items,IOM,1100003
2018,Health,WHO,2244334
2018,Health,UNICEF,292368
2018,Health,UNFPA,762002
2018,Water Sanitation Hygiene,UNICEF,2468170
2018,Food Assistance,UNRWA,15005129
2018,Health,WHO,645161
2018,Health,UNICEF,614919
2018,Shelter and Non-Food Items,IOM,997881
2018,Food Assistance,WFP,3235587
2018,Health,WHO,612288
2018,Health,UNICEF,434422
2018,Health,UNFPA,228474
2018,Nutrition,UNICEF,1333351
2018,Protection,UN Women,200518
2018,Protection,UNICEF,404436
2018,Water Sanitation Hygiene,UNICEF,422986
2018,Water Sanitation Hygiene,IOM,831247
2018,Common Services,UNDP,222646
2018,Common Services,WFP,262874
2018,Health,WHO,163143
2018,Health,UNFPA,256458
2018,Nutrition,UNICEF,121750
2018,Protection,UNICEF,209707
2018,Protection,UNFPA,105321
2018,Water Sanitation Hygiene,UNICEF,560108
2018,Multi-Sector,IOM,558709
2018,Shelter and Non-Food Items,UNHCR,970705
2018,Agriculture,FAO,3016164
2018,Food Assistance,WFP,5149956
2018,Health,WHO,1007150
2018,Health,UNICEF,484785
2018,Health,UNFPA,500000
2018,Health,IOM,491975
2018,Nutrition,WFP,1200979
2018,Nutrition,UNICEF,800000
2018,Water Sanitation Hygiene,UNICEF,2071947
2018,Water Sanitation Hygiene,IOM,975370
2018,Common Services,WFP,600000
2018,Health,WHO,199173
2018,Health,UNFPA,499830
2018,Multi-Sector,UNICEF,1099884
2018,Multi-Sector Refugee Assistance,UNHCR,3300000
2018,Multi-Sector Refugee Assistance,WFP,500003
2018,Multi-Sector Refugee Assistance,IOM,499729
2018,Education,UNICEF,1910750
2018,Shelter and Non-Food Items,IOM,2170039
2018,Health,WHO,624666
2018,Protection,UNHCR,849099
2018,Protection,OHCHR,350058
2018,Health,WHO,3650870
2018,Health,UNFPA,1727515
2018,Nutrition,UNICEF,2662108
2018,Multi-Sector,IOM,400000
2018,Multi-Sector Refugee Assistance,UNHCR,762268
2018,Multi-Sector,IOM,1600000
2018,Multi-Sector Refugee Assistance,UNHCR,4603340
2018,Food Assistance,WFP,19989834
2018,Health,WHO,9169997
2018,Nutrition,UNICEF,2729299
2018,Protection,UNHCR,5970599
2018,Water Sanitation Hygiene,UNICEF,6434013
2018,Common Services,UNDP,115540
2018,Common Services,WFP,5500008
2018,Education,UNICEF,257620
2018,Food Assistance,WFP,1058885
2018,Health,WHO,185866
2018,Health,UNICEF,234341
2018,Health,UNFPA,175103
2018,Nutrition,UNICEF,113685
2018,Protection,UNICEF,125704
2018,Water Sanitation Hygiene,UNICEF,1823045
2018,Multi-Sector Refugee Assistance,UNHCR,2025521
2018,Multi-Sector Refugee Assistance,IOM,560002
2018,Food Assistance,WFP,230175
2018,Health,WHO,1017463
2018,Health,UNICEF,755105
2018,Water Sanitation Hygiene,UNICEF,1096628
2018,Food Assistance,WFP,900003
2018,Health,UNHCR,450000
2018,Health,UNFPA,150000
2018,Water Sanitation Hygiene,UNHCR,500947
2018,Food Assistance,WFP,4750011
2018,Health,UN Women,199897
2018,Health,WHO,1500001
2018,Health,UNICEF,1500000
2018,Health,UNFPA,999959
2018,Health,IOM,1600000
2018,Nutrition,UNICEF,749997
2018,Water Sanitation Hygiene,UNICEF,2500094
2018,Water Sanitation Hygiene,IOM,1300000
2018,Multi-Sector Refugee Assistance,UNHCR,2902556
2018,Shelter and Non-Food Items,IOM,900001
2018,Agriculture,FAO,360000
2018,Food Assistance,WFP,1099518
2018,Protection,UNFPA,399951
2018,Water Sanitation Hygiene,UNICEF,699821
2018,Multi-Sector Refugee Assistance,UNHCR,1540005
2018,Agriculture,FAO,501629
2018,Food Assistance,WFP,1500492
2018,Health,WHO,901411
2018,Health,UNFPA,700072
2018,Protection,UNHCR,908839
2018,Protection,UN Women,795668
2018,Protection,UNICEF,712635
2018,Protection,IOM,389300
2018,Water Sanitation Hygiene,UNICEF,1000001
2018,Multi-Sector,WFP,2474440
2018,Camp Coordination / Management,UNHCR,1149979
2018,Camp Coordination / Management,IOM,589840
2018,Education,UNICEF,600929
2018,Agriculture,FAO,799842
2018,Food Assistance,WFP,2498676
2018,Health,WHO,550134
2018,Nutrition,WFP,381090
2018,Nutrition,UNICEF,1013510
2018,Protection,UNFPA,847836
2018,Water Sanitation Hygiene,UNICEF,1500322
2018,Agriculture,FAO,500000
2018,Health,WHO,3478487
2018,Health,UNICEF,1524971
2018,Nutrition,WFP,2745000
2018,Nutrition,UNICEF,1154949
2018,Water Sanitation Hygiene,UNICEF,600361
2018,Education,UNICEF,6084537
2018,Shelter and Non-Food Items,UNHCR,2726305
2018,Shelter and Non-Food Items,UNICEF,1658421
2018,Shelter and Non-Food Items,IOM,1089413
2018,Agriculture,FAO,4461914
2018,Food Assistance,WFP,3400000
2018,Health,WHO,1110403
2018,Health,UNFPA,600000
2018,Nutrition,UNICEF,1410608
2018,Protection,UNHCR,200317
2018,Protection,UNOPS,549995
2018,Water Sanitation Hygiene,UNICEF,2548230
2018,Common Services,WFP,999853
2018,Multi-Sector Refugee Assistance,UNHCR,1000108
2018,Agriculture,UNDP,556101
2018,Agriculture,FAO,476593
2018,Health,WHO,508440
2018,Nutrition,UNICEF,2695432
2018,Nutrition,UNFPA,350010
2018,Multi-Sector Refugee Assistance,UNHCR,407719
2018,Shelter and Non-Food Items,IOM,2779840
2018,Agriculture,FAO,984569
2018,Food Assistance,WFP,749901
2018,Health,WHO,1723155
2018,Health,UNICEF,1300018
2018,Health,UNFPA,497717
2018,Nutrition,UNICEF,699977
2018,Water Sanitation Hygiene,UNICEF,250000
2018,Agriculture,FAO,250000
2018,Food Assistance,WFP,1355986
2018,Health,WHO,950001
2018,Health,UNICEF,549247
2018,Health,UNFPA,1149999
2018,Health,IOM,500020
2018,Protection,UNHCR,1200000
2018,Protection,UNOPS,800000
2018,Water Sanitation Hygiene,UNICEF,499910
2018,Common Services,WFP,850167
2018,Agriculture,FAO,1099960
2018,Food Assistance,WFP,1699841
2018,Nutrition,WFP,1200000
2018,Nutrition,UNICEF,1200000
2018,Water Sanitation Hygiene,UNICEF,1950000
2018,Water Sanitation Hygiene,IOM,849999
2018,Education,UNDP,1150000
2018,Education,UNICEF,1345190
2018,Agriculture,FAO,2800432
2018,Food Assistance,WFP,1199936
2018,Nutrition,WFP,550238
2018,Nutrition,WHO,246000
2018,Nutrition,UNICEF,702009
2018,Early Recovery,UNDP,691923
2018,Agriculture,FAO,849997
2018,Food Assistance,WFP,1200000
2018,Health,WHO,536158
2018,Health,UNFPA,399841
2018,Nutrition,UNICEF,453766
2018,Protection,UNHCR,500000
2018,Protection,UNFPA,400018
2018,Agriculture,UNDP,452123
2018,Agriculture,FAO,449999
2018,Health,WHO,487067
2018,Health,UNICEF,699713
2018,Health,UNFPA,288007
2018,Nutrition,WFP,700001
2018,Multi-Sector Refugee Assistance,UNHCR,899972
2018,Education,UNICEF,962378
2018,Agriculture,FAO,1440000
2018,Food Assistance,WFP,6350748
2018,Health,WHO,2575700
2018,Nutrition,UNICEF,3920000
2018,Water Sanitation Hygiene,UNICEF,1400000
2018,Water Sanitation Hygiene,IOM,600000
2018,Multi-Sector Refugee Assistance,UNHCR,2749050
2018,Food Assistance,WFP,2200000
2018,Health,UNFPA,125067
2018,Multi-Sector Refugee Assistance,UNHCR,675000
2018,Agriculture,FAO,784555
2018,Health,WHO,500088
2018,Protection,UN Women,500094
2018,Protection,UNICEF,595548
2018,Protection,UNFPA,1500124
2018,Water Sanitation Hygiene,IOM,1100000
2018,Multi-Sector Refugee Assistance,UNDP,597062
2018,Multi-Sector Refugee Assistance,UNHCR,4810721
2018,Multi-Sector Refugee Assistance,WFP,4500000
2018,Multi-Sector Refugee Assistance,UNICEF,2100000
2018,Food Assistance,WFP,3792763
2018,Health,UNICEF,401647
2018,Health,UNFPA,350000
2018,Protection,UNICEF,298528
2018,Protection,IOM,555386
2018,Water Sanitation Hygiene,UNICEF,450470
2018,Multi-Sector Refugee Assistance,UNHCR,4146664
