Year,Cluster,Agency,Budget
2017,Food Assistance,WFP,1671013
2017,Health,WHO,368936
2017,Protection,OHCHR,111590
2017,Protection,UNFPA,660704
2017,Water Sanitation Hygiene,UNICEF,396027
2017,Multi-Sector,UNHCR,946466
2017,Early Recovery,UNDP,451124
2017,Shelter and Non-Food Items,IOM,450149
2017,Agriculture,FAO,400003
2017,Food Assistance,WFP,999849
2017,Health,UNICEF,130005
2017,Health,UNFPA,106979
2017,Nutrition,WFP,500000
2017,Nutrition,UNICEF,505971
2017,Protection,UNICEF,105984
2017,Protection,UNFPA,137495
2017,Water Sanitation Hygiene,UNICEF,1000322
2017,Health,WHO,750000
2017,Health,UNICEF,599999
2017,Health,UNFPA,356171
2017,Nutrition,WHO,300001
2017,Nutrition,UNICEF,1600000
2017,Water Sanitation Hygiene,UNICEF,2000001
2017,Common Services,UNDP,282519
2017,Common Services,WFP,750780
2017,Common Services,IOM,3250000
2017,Health,WHO,1034241
2017,Water Sanitation Hygiene,UNRWA,2010700
2017,Water Sanitation Hygiene,UNICEF,1193478
2017,Early Recovery,UNDP,250016
2017,Education,UNICEF,416518
2017,Shelter and Non-Food Items,IOM,1140181
2017,Agriculture,FAO,288286
2017,Health,WHO,398358
2017,Health,UNICEF,541819
2017,Health,UNFPA,384494
2017,Water Sanitation Hygiene,WHO,397633
2017,Water Sanitation Hygiene,UNICEF,1350657
2017,Camp Coordination / Management,IOM,500460
2017,Health,WHO,425553
2017,Health,UNFPA,250641
2017,Protection,UNHCR,450000
2017,Protection,UNFPA,250350
2017,Water Sanitation Hygiene,UNICEF,600270
2017,Food Assistance,WFP,2243835
2017,Health,WHO,300239
2017,Health,UNICEF,385789
2017,Health,UNFPA,185451
2017,Nutrition,UNICEF,610307
2017,Protection,UNICEF,146350
2017,Water Sanitation Hygiene,UNICEF,499577
2017,Shelter and Non-Food Items,UNHCR,1624137
2017,Agriculture,FAO,560001
2017,Food Assistance,WFP,3696495
2017,Health,WHO,1781690
2017,Health,UNICEF,450000
2017,Health,UNFPA,942839
2017,Nutrition,WFP,2699899
2017,Nutrition,WHO,130001
2017,Nutrition,UNICEF,1774643
2017,Water Sanitation Hygiene,UNHCR,446796
2017,Water Sanitation Hygiene,WHO,300092
2017,Water Sanitation Hygiene,UNICEF,549967
2017,Water Sanitation Hygiene,IOM,500000
2017,Shelter and Non-Food Items,UNHCR,2500034
2017,Health,WHO,799786
2017,Health,UNICEF,1050001
2017,Health,UNFPA,397090
2017,Health,IOM,780753
2017,Nutrition,WFP,2780430
2017,Nutrition,UNICEF,924630
2017,Water Sanitation Hygiene,UNICEF,3249303
2017,Water Sanitation Hygiene,IOM,1746138
2017,Common Services,WFP,805376
2017,Camp Coordination / Management,IOM,250000
2017,Education,UNICEF,700060
2017,Shelter and Non-Food Items,IOM,2000819
2017,Agriculture,FAO,1199901
2017,Health,WHO,1004070
2017,Health,UNICEF,500081
2017,Health,UNFPA,600025
2017,Health,IOM,600000
2017,Nutrition,WFP,954945
2017,Nutrition,UNICEF,1714553
2017,Protection,UNICEF,1000074
2017,Protection,UNFPA,599940
2017,Water Sanitation Hygiene,UNICEF,1549562
2017,Water Sanitation Hygiene,IOM,1250560
2017,Common Services,WFP,1300000
2017,Common Services,IOM,299999
2017,Shelter and Non-Food Items,UN Habitat,674999
2017,Shelter and Non-Food Items,IOM,1000001
2017,Agriculture,FAO,615852
2017,Food Assistance,WFP,2633984
2017,Health,WHO,415160
2017,Health,UNFPA,105395
2017,Water Sanitation Hygiene,UNICEF,1750882
2017,Shelter and Non-Food Items,UNDP,1178434
2017,Shelter and Non-Food Items,IOM,923309
2017,Agriculture,FAO,1000000
2017,Water Sanitation Hygiene,UNICEF,1111516
2017,Food Assistance,WFP,14751543
2017,Nutrition,WHO,3577038
2017,Nutrition,UNICEF,5999997
2017,Common Services,UNDP,129357
2017,Common Services,WFP,1095172
2017,Education,UNICEF,297388
2017,Shelter and Non-Food Items,IOM,391446
2017,Protection,UNICEF,253622
2017,Protection,UNFPA,198481
2017,Water Sanitation Hygiene,UNICEF,444264
2017,Shelter and Non-Food Items,UNHCR,1999989
2017,Shelter and Non-Food Items,IOM,1786246
2017,Agriculture,FAO,3000000
2017,Food Assistance,WFP,1600042
2017,Health,WHO,810628
2017,Water Sanitation Hygiene,UNICEF,800000
2017,Shelter and Non-Food Items,UNHCR,850001
2017,Agriculture,FAO,400298
2017,Food Assistance,WFP,3603471
2017,Health,WHO,1000183
2017,Nutrition,WFP,600037
2017,Nutrition,UNICEF,400180
2017,Protection,UNHCR,850001
2017,Protection,UNICEF,450810
2017,Protection,UNFPA,400180
2017,Protection,IOM,450000
2017,Water Sanitation Hygiene,UNICEF,1000252
2017,Shelter and Non-Food Items,UNHCR,970051
2017,Shelter and Non-Food Items,IOM,1059981
2017,Agriculture,FAO,700011
2017,Food Assistance,WFP,919912
2017,Health,WHO,460002
2017,Nutrition,UNICEF,890000
2017,Protection,UNHCR,400000
2017,Protection,UNICEF,400000
2017,Protection,UNFPA,1200005
2017,Common Services,WFP,2995664
2017,Education,UNICEF,396705
2017,Health,WHO,769999
2017,Health,UNICEF,480000
2017,Health,UNFPA,350000
2017,Nutrition,UNHCR,300000
2017,Nutrition,UNICEF,700014
2017,Common Services,WFP,1500000
2017,Multi-Sector,UNHCR,250000
2017,Multi-Sector,WFP,5663065
2017,Multi-Sector,UNICEF,166813
2017,Multi-Sector,FAO,154503
2017,Multi-Sector,UNFPA,263864
2017,Agriculture,FAO,556180
2017,Health,WHO,730794
2017,Health,UNICEF,795001
2017,Health,UNFPA,604786
2017,Nutrition,WFP,2129998
2017,Nutrition,UNICEF,1179986
2017,Shelter and Non-Food Items,UNHCR,1000340
2017,Agriculture,FAO,250000
2017,Food Assistance,WFP,700000
2017,Health,WHO,1149914
2017,Health,UNFPA,299994
2017,Protection,UNOPS,297570
2017,Protection,UNICEF,200000
2017,Protection,UNFPA,300000
2017,Water Sanitation Hygiene,UNICEF,950001
2017,Multi-Sector,IOM,849996
2017,Early Recovery,UNDP,400346
2017,Agriculture,FAO,1100000
2017,Food Assistance,WFP,2300001
2017,Health,WHO,324505
2017,Health,UNICEF,277344
2017,Health,UNFPA,413808
2017,Nutrition,WFP,500427
2017,Nutrition,UNICEF,349998
2017,Water Sanitation Hygiene,UNICEF,294393
2017,Shelter and Non-Food Items,UNHCR,149998
2017,Shelter and Non-Food Items,IOM,112550
2017,Agriculture,FAO,1931420
2017,Food Assistance,WFP,1924516
2017,Health,WHO,338331
2017,Health,UNFPA,149075
2017,Nutrition,WFP,677050
2017,Nutrition,UNICEF,959983
2017,Protection,UNHCR,279024
2017,Protection,UNOPS,133868
2017,Protection,UNFPA,250009
2017,Education,UNICEF,578410
2017,Shelter and Non-Food Items,IOM,1000001
2017,Agriculture,FAO,2500000
2017,Food Assistance,WFP,1500311
2017,Health,WHO,507002
2017,Health,UNFPA,500121
2017,Protection,UNHCR,472674
2017,Protection,UNICEF,699987
2017,Protection,UNFPA,500332
2017,Water Sanitation Hygiene,UNICEF,1200000
2017,Common Services,WFP,600010
2017,Education,UNICEF,1525595
2017,Shelter and Non-Food Items,UNHCR,1571826
2017,Shelter and Non-Food Items,IOM,1572472
2017,Agriculture,FAO,2077500
2017,Food Assistance,WFP,4324678
2017,Health,WHO,1447999
2017,Health,UNICEF,1007405
2017,Health,UNFPA,858279
2017,Nutrition,UNICEF,1902005
2017,Protection,UNHCR,1200564
2017,Protection,UNICEF,500000
2017,Protection,UNFPA,662837
2017,Water Sanitation Hygiene,UNICEF,3345997
2017,Education,UNICEF,1177767
2017,Shelter and Non-Food Items,IOM,699999
2017,Food Assistance,WFP,4499671
2017,Health,WHO,1250001
2017,Nutrition,WFP,1704528
2017,Nutrition,UNICEF,1696958
2017,Protection,UNFPA,300000
2017,Water Sanitation Hygiene,UNICEF,741052
2017,Water Sanitation Hygiene,IOM,500000
2017,Multi-Sector Refugee Assistance,UNHCR,1600007
2017,Education,UNICEF,599904
2017,Shelter and Non-Food Items,UNHCR,350000
2017,Shelter and Non-Food Items,IOM,350000
2017,Agriculture,FAO,4000000
2017,Food Assistance,WFP,3500750
2017,Health,WHO,400000
2017,Health,UNICEF,699999
2017,Health,IOM,400000
2017,Nutrition,WFP,1750000
2017,Nutrition,UNICEF,1550001
2017,Protection,UNICEF,200000
2017,Protection,UNFPA,195179
2017,Water Sanitation Hygiene,UNICEF,2063461
2017,Water Sanitation Hygiene,IOM,1150000
2017,Common Services,WFP,750000
2017,Early Recovery,UNDP,400000
2017,Agriculture,FAO,600001
2017,Food Assistance,WFP,5200002
2017,Health,WHO,300000
2017,Protection,UN Women,351512
2017,Protection,UNFPA,900001
2017,Water Sanitation Hygiene,IOM,400000
2017,Multi-Sector Refugee Assistance,UNHCR,4651651
2017,Multi-Sector Refugee Assistance,UNICEF,2183537
