Year,Cluster,Agency,Budget
2021,Multi-purpose CASH,UNICEF,276852
2021,Education,UNICEF,451000
2021,Shelter and Non-Food Items,IOM,4151930
2021,Health,WHO,1842994
2021,Protection,UNHCR,1769500
2021,Water Sanitation Hygiene,UNICEF,284576
2021,Food Assistance,WFP,15000005
2021,Health,WHO,1704803
2021,Health,UNICEF,2580000
2021,Water Sanitation Hygiene,UNICEF,1720000
2021,Education,UNRWA,1000000
2021,Shelter and Non-Food Items,UNRWA,1500000
2021,Protection,UNOPS,800000
2021,Water Sanitation Hygiene,UNICEF,1198475
2021,Camp Coordination / Management,IOM,1170006
2021,Education,UNICEF,271684
2021,Shelter and Non-Food Items,IOM,1830009
2021,Food Assistance,WFP,2039678
2021,Health,UNFPA,593173
2021,Protection,UNICEF,407525
2021,Protection,UNFPA,1985841
2021,Water Sanitation Hygiene,UNICEF,2716836
2021,Common Services,WFP,959849
2021,Education,UNICEF,504000
2021,Shelter and Non-Food Items,IOM,1557549
2021,Agriculture,FAO,550000
2021,Health,WHO,599139
2021,Protection,UNFPA,300000
2021,Protection,IOM,192506
2021,Water Sanitation Hygiene,UNICEF,2796000
2021,Agriculture,FAO,4250000
2021,Food Assistance,WFP,5616058
2021,Health,WHO,4000000
2021,Health,UNICEF,984241
2021,Health,UNFPA,1000000
2021,Health,IOM,697000
2021,Nutrition,WFP,3034041
2021,Nutrition,UNICEF,2284121
2021,Protection,UNHCR,1000018
2021,Protection,UNICEF,369090
2021,Protection,UNFPA,750000
2021,Water Sanitation Hygiene,UNICEF,5013552
2021,Water Sanitation Hygiene,IOM,5003135
2021,Common Services,WFP,1000045
2021,Camp Coordination / Management,IOM,377000
2021,Shelter and Non-Food Items,IOM,1102000
2021,Agriculture,FAO,1800000
2021,Food Assistance,WFP,12187760
2021,Health,WHO,3380031
2021,Health,UNFPA,200020
2021,Nutrition,UNICEF,450000
2021,Protection,UNHCR,2149942
2021,Protection,UNICEF,743947
2021,Water Sanitation Hygiene,UNICEF,4325742
2021,Water Sanitation Hygiene,IOM,1421000
2021,Common Services,WFP,1592175
2021,Common Services,UNICEF,180000
2021,Shelter and Non-Food Items,UNHCR,11623400
2021,Health,WHO,1626566
2021,Health,UNICEF,2308317
2021,Health,UNFPA,6583200
2021,Health,IOM,1702338
2021,Protection,UNHCR,1436600
2021,Protection,UNICEF,2308317
2021,Protection,UNFPA,1856800
2021,Water Sanitation Hygiene,UNICEF,4616634
2021,Water Sanitation Hygiene,IOM,1513189
2021,Common Services,UNDP,682267
2021,Common Services,WFP,2224000
2021,Common Services,IOM,1513189
2021,Shelter and Non-Food Items,UNHCR,700000
2021,Health,WHO,599227
2021,Protection,UNDP,700000
2021,Protection,UNFPA,394480
2021,Common Services,WFP,599984
2021,Water Sanitation Hygiene,UNICEF,400000
2021,Multi-purpose CASH,WFP,600000
2021,Health,WHO,2499224
2021,Health,UNICEF,1050005
2021,Protection,UNICEF,75000
2021,Water Sanitation Hygiene,UNICEF,1375007
2021,Shelter and Non-Food Items,UNHCR,2320000
2021,Agriculture,FAO,2000008
2021,Food Assistance,WFP,3499990
2021,Health,WHO,606800
2021,Protection,UNHCR,1680000
2021,Protection,UNOPS,759903
2021,Protection,IOM,1500001
2021,Water Sanitation Hygiene,WHO,133200
2021,Camp Coordination / Management,UNHCR,495000
2021,Shelter and Non-Food Items,UNHCR,1005000
2021,Shelter and Non-Food Items,IOM,500000
2021,Food Assistance,WFP,2000000
2021,Health,WHO,1000000
2021,Protection,UNICEF,495000
2021,Protection,UNFPA,500021
2021,Water Sanitation Hygiene,UNICEF,1005000
2021,Agriculture,FAO,899999
2021,Food Assistance,WFP,849997
2021,Health,WHO,998973
2021,Nutrition,UNICEF,504000
2021,Protection,UNHCR,550000
2021,Protection,IOM,499950
2021,Water Sanitation Hygiene,UNICEF,696000
2021,Shelter and Non-Food Items,UNHCR,298671
2021,Shelter and Non-Food Items,IOM,600000
2021,Agriculture,FAO,500000
2021,Food Assistance,WFP,1493983
2021,Health,WHO,449981
2021,Health,UNICEF,223994
2021,Health,UNFPA,400000
2021,Nutrition,WFP,305996
2021,Nutrition,WHO,149994
2021,Nutrition,UNICEF,495988
2021,Protection,UNICEF,239994
2021,Protection,UNFPA,400000
2021,Water Sanitation Hygiene,UNICEF,639984
2021,Common Services,WFP,802480
2021,Education,UNICEF,779902
2021,Shelter and Non-Food Items,UNHCR,2392196
2021,Shelter and Non-Food Items,UNICEF,1134403
2021,Shelter and Non-Food Items,IOM,1000000
2021,Agriculture,FAO,1000000
2021,Health,WHO,1857681
2021,Health,UNFPA,911400
2021,Nutrition,WFP,301000
2021,Nutrition,UNICEF,2694206
2021,Protection,UNHCR,1012083
2021,Protection,UNICEF,992602
2021,Protection,UNFPA,948599
2021,Water Sanitation Hygiene,UNICEF,1488903
2021,Common Services,UNICEF,350000
2021,Multi-Sector Refugee Assistance,UNHCR,1196098
2021,Multi-purpose CASH,WFP,3999000
2021,Camp Coordination / Management,UNHCR,680000
2021,Camp Coordination / Management,IOM,2310000
2021,Shelter and Non-Food Items,UNHCR,360000
2021,Shelter and Non-Food Items,IOM,690000
2021,Agriculture,FAO,4000000
2021,Health,WHO,4000000
2021,Protection,UNHCR,960000
2021,Agriculture,FAO,1450000
2021,Food Assistance,WFP,3645000
2021,Health,WHO,500000
2021,Health,UNFPA,230000
2021,Nutrition,WFP,855000
2021,Nutrition,UNICEF,913500
2021,Protection,UNICEF,136500
2021,Protection,UNFPA,270000
2021,Camp Coordination / Management,UNHCR,100050
2021,Camp Coordination / Management,IOM,179350
2021,Education,UNICEF,223751
2021,Shelter and Non-Food Items,IOM,895400
2021,Agriculture,FAO,180000
2021,Food Assistance,WFP,1213650
2021,Health,WHO,130861
2021,Health,UNICEF,151250
2021,Health,UNFPA,171569
2021,Health,IOM,108900
2021,Nutrition,WFP,125550
2021,Nutrition,UNICEF,563750
2021,Protection,UNHCR,344950
2021,Protection,WFP,55800
2021,Protection,UNICEF,471250
2021,Protection,UNFPA,268527
2021,Protection,IOM,101350
2021,Water Sanitation Hygiene,UNICEF,165000
2021,Water Sanitation Hygiene,IOM,50000
2021,Camp Coordination / Management,UNHCR,300181
2021,Camp Coordination / Management,IOM,600000
2021,Shelter and Non-Food Items,UNHCR,1035207
2021,Shelter and Non-Food Items,IOM,750000
2021,Agriculture,FAO,1400022
2021,Health,UNICEF,850000
2021,Health,UNFPA,1141325
2021,Nutrition,UNICEF,1700000
2021,Protection,UNHCR,1015037
2021,Protection,UNICEF,300000
2021,Protection,UNFPA,1053530
2021,Water Sanitation Hygiene,UNICEF,850000
2021,Common Services,WFP,1500000
2021,Education,UNICEF,3805154
2021,Health,UNFPA,800010
2021,Protection,UNHCR,3999937
2021,Protection,UNICEF,1136604
2021,Protection,UNFPA,1200016
2021,Protection,IOM,1500000
2021,Shelter and Non-Food Items,UNHCR,1556000
2021,Agriculture,FAO,2200000
2021,Health,WHO,3200000
2021,Health,UNICEF,2185175
2021,Nutrition,UNICEF,3230258
2021,Protection,UNHCR,1244000
2021,Protection,UNOPS,800000
2021,Protection,UNICEF,475038
2021,Protection,UNFPA,499987
2021,Water Sanitation Hygiene,UNDP,3000000
2021,Water Sanitation Hygiene,UNICEF,3610289
2021,Education,UNICEF,625000
2021,Shelter and Non-Food Items,UNHCR,650000
2021,Shelter and Non-Food Items,IOM,360000
2021,Food Assistance,WFP,400000
2021,Food Assistance,IOM,70000
2021,Health,WHO,899993
2021,Health,UNICEF,575000
2021,Health,UNFPA,1300000
2021,Health,IOM,60000
2021,Nutrition,UNICEF,850000
2021,Protection,UNHCR,650000
2021,Protection,UNICEF,850000
2021,Protection,UNFPA,200000
2021,Protection,IOM,510000
